kalian juga tidak banyak membantu terkait dengan jaringan kalian yang terbukti tidak berkualitas .	kalian juga tdk banyak membantu terkait dengan jaringan kalian yang terbukti tdk berkualitas
pengemudi yang bersangkutan , tidak ditelusuri oleh pihak go - jek mbak ?	driver ybs gak ditelusuri pihak gojek mba ?
admin saya ada beli paket unlimited jumbo menggunakan pulsa . pulsa terpotong tetapi paket internet tidak masuk , bagaimana ini ?	min saia ad beli paket unlimited jumbo pakai pulsa pulsa kepotong paket internet gak masuk gmna ini ?
keluhan yang sama dari tanggal agustus . internet lambat ! kartu indosat pra - bayar freedom lambat semua .	keluhan yg sama dr tgl agustus . internet lemot ! kartu indosat prabayar freedom lemot semua .
iya , besok rencananya mau ke bank . menelepon pusat bantuan , tidak berguna . parah !	iya besok rencana mau ke bank . nelpon call center ga guna anjir
saya sudah balas via dm .	saya sudah balas via dm ya ,
halo admin . saya melakukan pembelian pulsa tetapi belum ada report masuk .	hello min saya melakukan pembelian pulsa tapi blm ada report masuk
tidak ada pembenahan solusi antrian di kfc rata - rata menit lebih di atas jam . antrian bisa satu jam .	tidak ada pembenahan solusi antrian di kfc rata - rata mnit lebih di atas jam antrian bisa satu jam
tolong dong admin . nomor pesanan belum masuk sama sekali pulsanya dari semalam . saya butuh pulsa cepat sekarang .	tolong dong min no . pesanan belum masuk sama sekali nih pulsanya dari semalem . saya butuh pulsa cepat nih sekarang
monopoli dom aku mengapa tidak ada admin ?	monopoli dom ku kok gak ada min
saya mau tanya admin . saya kan terbilang nasabah baru , apakah bisa tarik tunai di atm mandiri syariah ?	saya mau tanya min , saya kan tebilang nasabah baru nih , apakah bisa tarik tunai di atm mandiri syariah ?
hari ini . sribhawono lampung timur	hari ini . sribhawono lampung timur
paket saya dengan nomor resi ini jp ke mana ? pihak jnt , suka seenaknya merubah status . padahal , paket belum dikirimkan ke pelanggan .	jp paket saya dengan noresi ini kemana . kurir jnt tuh seenaknya ubah status padahal paket blm dikasih ke kostumer
admin . pesanan saya mengapa tidak sampai - sampai ? resinya tidak dapat dicek juga . bagaimana ini ? tolong dibantu periksa .	min , ini ordran saya kenap ga sampe2 yaa ? resinya gabisa cek juga lagi . gimana nihh . dibantu cek dong
aku orangnya sederhana . dapat gratis ongkos kirim saja bisa membuat perut senang . terima kasih .	aku orangnya sederhana . dapat gratis ongkir aja bisa bikin perut senang . makasih loh
selamat malam . mohon saya diberi informasi . paket saya sejak tanggal tertahan dengan status itu dan belum terkirim sampai sekarang . ada apa ?	malam , mohon info paket saya sejak tanggal tertahan dgn status itu . blm terkirim sampai sekarang , ada apa ya ?
iya , di mandiri onlinenya saldo terpotong , cuma biasanya kan dapat email . ini tidak masuk email .	iya di mandiri online nya saldo terpotong , cuma biasanya kn dpt email nah ini tidak email masuk
admin salah mengetiknya itu . sudah jelas di screenshotnya depannya itu	mimin salah ngetiknya tuh , udh jelas di ss nya depannya itu
sudah saya email tapi belum ada balasan .	sudah saya email , tapi belum ada balasan
tangal berapa ini ? mas , menggunakan kartu apa ? apakah kartu halo juga ?	tanggal berapa ini , mas pakai kartu apa , kartu halo juga ?
bagaimana , kak ? berhari - hari saya bertanya tetapi tidak menghasilkan solusi . saya lelah .	gimana kak ? berhari2 nanya tp gak menghasilkan solusi capek deh
kapan diumumkan yang akan mendapatkan vouchernya ?	ini di umumin yg dapet vouchernya kapan ya ?
kalau nomor akun gojek dibatalkan registrasinya lalu diregistrasi kembali menggunakan kk yang berbeda , apakah akan bermasalah di akunnya nanti ?	kalau nomor akun gojek di unreg lalu di regis kembali menggunakan kk yg berbeda apakah akan bermasalah di akunnya nanti ?
hai admin . mohon bantu untuk hapus akun gojek saya yang lama . terima kasih .	hi , admin . mohon bantuan untuk hapus akun gojek saya yg lama ? terimakasih .
halo ! kenapa resi wahana tidak update di history pengirimannya ?	hello ! kenapa resi wahana tidak update di history pengirimannya ?
dibaca baik - baik tolong , saya telepon , yang terpotong yang mana ?	dibaca baik - baik tolong , saya telpon , yang terpotong yang mana ?
di android juga sama . btw ini video permintaan nya .	do android juga sama . btw ini video request nya
hahaha . tetapi saya tanya sungguhan . saya pikir kalau akun institusi berbeda . kamu tetap bisa mention dia walaupun akunmu digembok .	hahaha . etapi gw nanya beneran itu , gw pikir klu akun institusi beda . lo tetep bisa mensyen dia walopun akun lo digembok
kepada , sinyal daerah tempat ini harap diperhatikan . kelihatannya perlu pemeliharaan ( khususnya di belakang gardu induk pln ) perumnas .	dear . sinyal daerah sini harap diperhatikan . kliatannya perlu maintenance ( khususnya blkng gardu induk pln ) perumnas
saya sudah dm , tolong segera dicek dan ditangani . uang saya tidak sedikit yang di - top up tetapi tidak masuk sama sekali .	sudah saya dm , tolobg segera di cek dan ditangani . uang saya gak sedikit yg di top up tapi gak masuk sama sekali .
lihat teman - teman banyak korban dari . tanggung jawab !	lihat teman teman bnyak korban dari tanggung jawab oii
malu , sudah tua bukannya takut pada tuhan , malah takut ditagih hutang .	malu dong boss , udah tua bukannya takut sama tuhan . malah takut ditagih utang .
tolong . sinyal saya susah sekali ini anjing .	tolong lah sinyal gue susah bgt ni anjing .
halo . sudah sejak kemarin jaringan anda lambat sekali di kendari , pekerjaan berantakan , ada solusi untuk saya ? terima kasih .	halo , sudah sejak kemaren jaringan anda lemoot pol di kendari , pekerjaan berantakan , ada solusi tuk saya ? thnks
gaji saya setiap bulan , admin . enak dirimu , admin .	gajian ku bulan sekali min . . . enak dirimu min
kak , bagaimana ini saya daftar paket yellow tidak bisa .	kak gimana nih saya daftar paket yellow gak bisa bisa
dear , mohon dibantu cek pesannya ya . terimakasih .	dear , mohon dibantu cek pesan nya ya . terimakasih
halo tolong balas dm saya .	halo tolong balas dm saya
aku hari ini grabfood .	aku hari ini grabfood dong
bagaimana maksudnya paket data langganan gb bulan ?	paket data langganan gb , bulan ini maksudnya gimana ya min .
amin . semoga juga sinyal internet indosat tidak hilang - hilangan terus . karena aku belum berniat mengganti provider .	aamiin . semoga juga sinyal internet indosat nggak ilang - iangan terus ya . aku belum berniat ganti provider soalnya .
mau tanya kalau paket bayar di tujuan masih bisa tidak ?	mau nanya klo paket bayar di tujuan msh bisa ga
coba periksa dm - nya yaya . kamu seperti sepupu saya bernama yaya .	coba cek dmnya yaya , kaya sepupu gua lu namanya yaya
halo . mengapa grabfood kamu tidak bisa digunakan sejak kemarin ?	haloo kok grabfoodmu gbs dari kmrn knp
halo , teman saya transfer melalui gopay kenapa belum masuk ?	halo temen saya transfer via gopay kok blm masuk ya
oh , oke , terima kasih banyak infonya .	oh okey terimakasih banyak info nya
sudah hari say . template csnya suruh menunggu terus - menerus x24 jam . tetapi tidak pernah dikembalikan uangnya .	udah hari say . template csnya sih suruh nunggu terus x24 jam . tp ga pernah dibalik2in uangnya .
baiklah kak , yuk ke dm atau cek link ini . terima kasih - mindy .	baiklah kak yuk ke dm atau cek link ini . terima kasih - mindy
kalau jaringan jelek begini saat waktu punya pacar tapi posisi ldran , auto putus sepertinya .	kalo jaringan jelek gini pas waktu punya pacar tapi posisi ldr an , auto putus kayaknya .
sedang menuju hari yang membuat panik .	sedang menuju hari yang bikin panik
pak , kenapa paket saya belum diantar - antar ? ini resinya jp .	pak kenapa paket saya blum di antar antar , ini resinya jp
mengapa saya tidak bisa dm min ?	kok saya gabisa dm yaa min ?
yang dihina pun ulama . otaknya tidak ada isi yang begitu bang .	yg dihina pun ulama , otak nya ngak ada isi ya gitu bng
hadiah masih lebih dari ketika selesai .	rewards masih lebih dari ketika complete
halo , selamat malam . saya ingin bertanya , apakah program kkb dapat dipergunakan untuk mobil bekas ? terima kasih .	halo selamat malam . saya mau tanya kalo program kkb bisa dipergunakan untuk mobil bekas atau tidak ? terima kasih .
halo , bagaimana dengan paket saya yang tidak dikirim - kirim . statusnya masih disimpan .	haloo gimana ini dengan paket saya yang ngga di kirim2 . status nya masih di simpan
tolong diperluas lagi ya admin jangkauan jaringannya . aku tunggu kabar baiknya admin .	tolong di perluas lagi ya min jangkauan jaringannya . aku tunggu kabar baiknya min .
kakak . mengapa padahal saya memakai nomor ini kok tidak bisa ?	kak ini kenapa ya padahal saya pke nomer ini kok gc bisa2 ?
saya ada kiriman dari inggris , statusnya sekarang ' unsuccessfull delivery ' pada tanggal agustus . kira - kira kapan dilakukan pengiriman ulang ke rumah saya ?	saya ada kiriman dari uk statusnya sekarang ' unsuccessfull delivery ' pada tanggal agustus , kira - kira kapan dilakukan pengiriman ulang ke rumah saya ya ?
kenapa setelah membayar pascabayar menjadi tidak ada kuotanya ?	ini kenapa abis bayar pascabayar jadi gaada kuotanya ya ?
ingin bertanya tentang grab wheelsnya , ini ditujukan untuk commuting dari satu parking spot ke parking lainnya ? atau untuk round trip ?	ingin bertanya tentang grab wheelsnya , ini ditujukan untuk commuting dr satu parking spot ke parking spot lainnya ? atau untuk round trip ?
itu karena kamu cantik . coba kalau aku , malah tidak dikembalikan sisanya .	itu grgr km cantik . coba kalo aku , malah ga dikembaliin sisan jujul e
wilayah pontianak abang dari menjadi .	wilayah pontianak bang dari jadi
assalamualaikum telkomsel ini jaringannya lagi mengapa ? sudah g tapi tidak bisa dipakai .	semlikum telkomsel ini jaringannya lagi kenapa si ? udah g tapi gabisa dipakee
benar - benar dipermainkan kelangsungan hidupku .	ner bener di permainkan kelangsungan hidup gue
untuk apa nomorku , kutu busuk ! kamu tidak lihat konsumen - konsumen lain ada masalah yang sama . kontol jangan berlaga congek dan tuli , kamu goblok .	buat apa nomer g bangsat ! l ngak liat tuch konsumen2 lain pun masalah yg sama kontol jgn berlagak conge dan tuli l goblok .
admin . tolong ini , ada apa dengan toko saya ?	admin tolong ini ada apa dengan toko saya ?
kalau wifi mati dan paket data mau beli tidak bisa , bagaimana caranya mengakses aplikasi m3 admin ?	kalo wifi mati n paket data mau beli ga bisa , gimana cara ' a akses app m3 ' a min ? ada2 aja .
telkomsel berkolaborasi dengan bluebird menghadirkan teknologi internet of things ( iot ) via indonesia .	telkomsel berkolaborasi dengan bluebird menghadirkan teknologi internet of things ( iot ) via indonesia
admin , mohon bantuannya , saya sudah dm . terima kasih .	min mohon bantuan , saya sudah dm terima kasih
kalau nomor hp hilang , gopay nya bagaimana ?	kalo nomer hp hilang , gopay nya gimana ?
mengapa daftar keinginan saya hilang ? tapi saat lihat per item , masih ada tanda hati yang berarti daftar keinginannya aktif .	ini wishlist saya kok ilang ? tapi pas liat per item masih ada tanda hati wishlist nya aktif
kalau adminnya balas lagi . pada akhirnya diberi ucapan terima kasih saja terus , mas .	kalau adminnya bales lagi . ujung2nya diterimakasih in terus nih mas
saya juga pernah di telepon anjir hahaha , masuk orderan ke saya kali .	gw juga pernah di telfon anjir hahaha , masuk orderan ke gw kali
apakah tidak ada kerjaan ? dimana - mana ada .	ngga ada kerjaan ya ? dimana2 ada
ayo , ambil alih pembinaan bulu tangkis .	ayo ambil alih pembinaan bulutangkis
dear admin saya mau kirim barang , tapi ongkos kirim bayarnya apakah bisa dibebankan oleh penerimanya ?	dear admin saya mau kirim barang tapi ongkos kirim bayarnya apakah bisa di beban kan oleh penerimannya ?
memang iya , resi j & t dapat ditrack setelah hari ? saya sudah beberapa kali mengirim menggunakan j & t , sepertinya langsung dapat dilacak .	emang iya resi j & t bisa di track setelah hari ? gw udah beberapa kali ngirim pake j & t kayanya langsung bisa di track deh .
buat apa mengadakan obral harga , jika akhirnya tidak dikirim dengan alasan klasik salah harga ? apakah hanya ingin menaikkan jumlah kunjungan ?	ngapain ngadain sale harga kalo ujung2 nya gak dikirim alasan klasik salah harga , apa cuma mau menaikkan traffic gan ?
tidak ada balasan sampai sekarang . apa karena hanya terpotong ribu saja ?	gak ada balasan sampai sekarang . apa karena cuma terpotong ribu aja ?
admin , saya ingin membayar transaksi bukalapak . mengapa selalu gagal ?	min saya mau bayar transaksi bukalapak ko gagal mulu ya
pulsa saya terakhir , sekitar . lalu isi ulang . mengapa sekarang jumlahnya hanya ? nomornya .	pulsa saya terakhir , terus isi ulang . kenapa skrg jumlahnya hanya ya ? nomer
saya berencana menutup kartu pascabayar saya hari ini . tidak bisa ditutup dengan alasan harus menunggu siklus . apakah harus begitu ?	sy berencana menutup kartu pascabayar saya hari ini . dan gak bisa ditutup dgn alasan hrs nunggu cycle . kenapa hrs bgtu ?
admin , mengapa aku beli fore cofee tidak dapat cashback ?	min kok aku beli fore cofee ga dapet cashback ya ?
halo bukalapak . mau bertanya . apakah bisa membayar tagihan kartu ready credit citibank via bukalapak ? terima kasih .	halo bukalapak mau bertanya , apakah bisa membayar tagihan kartu ready credit citibank via bukalapak ? tks
nomor transaksi . barang belum dikirim melebihi batas kirim , dana belum masuk ke saldo bl saya .	no . transaksi barang belum dikirim melebihi batas kirim , dana belum masuk ke saldo bl saya .
hancur nih jaringan lambat parah indosat di pisangan baru utara matraman jakarta timur . tolong dong admin , sudah hampir seminggu lebih . terima kasih .	hancur neh jaringan lemot parah indosat dipisangan baru utara matraman jakarta timur . tolong dong min dah hampir seminggu lbh malah . mksh
bisa jadi penipu , namun juga bisa jadi persaingan bisnis . apalagi go - jek sedang melebarkan sayapnya .	bisa jd penipu , tp bsa jd persaingan bisnis pa lg gojek melebarkn sayap
ayo pantau timeline smartfren terus ya . jangan lupa follow juga kak . terima kasih sobat setia smartfren . via	yuk pantau timeline smartfren terus ya jangan lupa follow juga yah kak . terima kasih sobat setia smartfren . via
halo admin . tolong cek dm saya terkait sinyal internet yang lemot , sinyal hilang - hilangan . terima kasih .	halo min . tolong cek dm saya terkait sinyal internet yang lemot , sinyal hilang - hilangam . trims
halo admin , saya mengapa beli fore cofee tidak dapat cashback ? mengapa admin ? bisa di refund tidak ?	hallo min , saya kok beli fore cofee tidak dapat cashback yaa ? kenapa minn ? bisa di refund tidakk
pengiriman baterai hp dari cengkareng jakarta barat ke solo jawa tengah bisa tidak admin ?	pengiriman batre hp dari cengkareng jakarta barat ke solo jawa tengah bisa ga min
mengapa saya sudah dua kali top up tidak masuk - masuk saldonya ?	ini kenapa ya udah dua x top up ga masuk2 saldonya ?
hahaha . diamkan saja . bodo amat . kan bukan kita yang salah .	wkwk diemin aja bodo amatt bukan kita yg salah yakan
bagaimana mau terbantu ? dm saja tidak respons lambat . sudah hari dm saya tidak respons .	gimana mau terbantu . dm aja ngga slow respon . sudah hari dm saya tidak direspon
mau daftar , tapi tidak ada pilihan bintaro , tangerang selatan . jadi tidak bisa . kapan bisanya ?	mau sign up tapi ngga ada pilihan bintaro , tangerang selatan . jadi ngga bisa . kapan nih bisanya ?
senang bisa terhibur . sehat selalu pak dan semangat latihan dansanya .	senang bisa terhibur . sehat selalu pak , dan semangat latihan dancenya
yah , ketahuan pakai paket promo kamu tama .	jeh ketauan pake paket promoan km tama
kasus banyak , salah satu yang tertinggal dan mungkin serupa adalah terkait kasus .	kasus banyak , salah satu yang tertinggal dan mungkin serupa adalah terkait kasus
admin , tolong periksa dm . saya menunggu solusinya .	min cek dm dong tolong saya nunggu solusi nya
masih gangguan , daily gift tidak bisa dibuka min .	masih error nih daily gift gak bisa dibuka min
saya sedang menahan amarah , tidak ada respons sama sekali , ada apa ? paling tidak berikan penjelasan atau periksa dm !	sedang menahan amarah loh saya , tidak ada respon sama sekali , ada apa ya ini ? kasih penjelasan gitu atau ga cek dm hey !
halo kak ingin bertanya , kenapa aplikasi gojek saya tidak bisa dibuka ? sudah install ulang dua kali tetap tidak mau terbuka . terima kasih .	halo kak mau nanya kok app gojek saya gabisa di buka ya ? udh re - instal dua x tetap gamau kebuka . makasih
admin , saya tadi tukar poin . namun paket datanya belum diterima sampai sekarang .	min saya tadi tukar poin tapi paket datanya belum ada sampai sekarang .
grab ada kode promo untuk grab send terbaru tidak ? mengapa yang antar - jakarta expired ?	grab ada kode promo utk grab send terbaru ga ? kok yg antarjkt eired ya
: seberapa kamu ? : deadline tugas masih sebulan lagi : terus ? : saya mengerjakannya minggu lalu ! * alah tipu - tipu	: seberapa kamu ? : deadline tugas masih sebulan lagi : terus ? : gw kerjainnya minggu lalu ! * halah tipu tipu
admin , nomornya terblokir karena registrasi tidak berhasil apa bisa di aktifkan lagi ke grapari ?	min nomornya k blokir gara2 registrasi gak berhasil berhasil apa bosa d aktifkan lagi ke grafari ?
admin , cara berhenti internet yang gb ribu bagaimana ?	min cara berhenti internet yg gb rb gmn ya ?
halo jne . resi , status awal sudah sama kurir . setelah itu berganti menjadi transfer to another courier . bagaimana maksudnya itu ?	halo jne resi status awal sdh sm kurir abis itu ganti jadi transfer to another courier itu mksdnya gmna ?
sedang kenapa aplikasinya ? saya order grabfood error melulu .	lagi kenapa si aplikasinya ? gw order grab food eror mulu
kamu chat atau dari pelanggan kamu chat ke shopee , bilang dananya mengapa tidak dapat cair padahal sudah terima barang .	kamu chat atau dari cust kamu chat ke shopee bilang dana nya kenapa ga cair pdhl sudah terima barang
kenapa orderan di tolak terus ? pelanggan jadi lari ke tetangga sebelah . memang enak .	kenapa sih orderan di cancel terus , cust jadi lari ke tetangga sebelah deh , emang enak
jb , sudah seminggu paket tidak sampai , padahal masih dalam jakarta . malah dikirim ke surabaya untuk apa ? jnt sistemnya seperti apa ?	jb , sudah seminggu paket ngga nyampe , padahal masih dalam jakarta , ini malah dikirm ke surabaya buat apa coba ? jnt sistemnya gimana sih ?
ini mengapa ? orang mau beli pulsa gara - gara ini jadi batal . ini sampai berapa lama ?	ini kenapa ya ? orang mau beli pulsa gara2 ini jadi batal . ini sampe berapa lama ?
halo maaf mau tanya , handphone saya tiba - tiba kartunya no service . itu kenapa ? minta tolong bantuannya kak . terima kasih .	halo maaf mau tanya , hape saya tiba tiba kartunya no service . itu kenapa ya ? minta tolong bantuannya kak . terima kasih
frustasi dengan atm mandiri , hampir setiap hari bermasalah di seputar tanggerang selatan . kenapa bank lain seperti b * * jarang sekali bermasalah ? segera berbenah , menyebalkan .	frustasi dgn atm mandiri , hampir tiap hari bermasalah di seputar tang sel , knp bank lain spt b * * jarang sekali masalah , segera berbenah , menyebalkan
paket resi sudah sampai mana ? pakai yes . statusnya masa masih sampai magelang ?	paket resi udh smp mana ya ? pakai yes lho , statusnya masa masih smp magelang ?
halo kak . saya telah mengirimkan dm terkait kendala aktivasi . tolong dibuka . terima kasih .	halo kak , saya telah mengirimkan dm terkait kendala aktivasi . tolong dibuka yaa . terima kasih
saya tidak butuh kuota banyak min . karena di rumah pakai wifi .	saya ga butuh kuota banyak min . karena dirumah pakai wifi
sampai kapan aku harus menunggu , admin ?	sampai kapan ku harus menunggu , min ?
mungkin terlalu asyik dengan pekerjaan sendiri , tetapi betul kemarin baru saja belanja tidak bisa pakai dua voucher .	mungkin terlalu asik dengan kerjaan sendiri tapi beneran deh , kmaren baru aja belanja , ga bisa pake dua voucher
paket saya dengan nomor resi dilaporkan oleh pihak jtr bandung bahwa barangnya hilang karena kapal terbakar . bagaimana ini ?	paket saya resi dilaporkan oleh pihak jtr bandung klo barangnya hilang krn kapal terbakar . ini gimana ?
proses withdraw biasanya berapa lama ? saya withdraw sudah satu jam belum terproses .	proses withdraw biasa berapa lama ya ? sy withdraw udh sejam yg lalu blm keproses .
admin , kenapa saya tidak bisa sms ? saya mau konfirmasi pembelian paket selalu gagal smsnya dari tadi .	min , ini kenapa saya gak bisa sms ya ? saya mau konfirmasi pembelian paket gagal mulu sms nya drtd .
kasih aku tiket konser daysix saja .	kasih aku tiket konser day6 aja
nu ' est , momoland , a pink , the boyz , fromis9	nu ' est , momoland , a pink , the boyz , fromis9
kukira , mengirimkan tweetnya ke yang satu lagi . rupanya , kemari juga sampai .	kukira ngetweetnya ke yg satu lagi . rupanya . kemari juga . sampai .
ini bukan mengojek , tapi memesan makanan .	ini bukan ngojek tapi order makanan
pesanan saya sudah hari tidak ada kabar , jb .	pesanan gw udah hari gak ada kabar , jb
sudah kak . sudah saya ganti ke g , tapi tetap susah .	sudah kak , sudah saya ganti ke g tp ttp susah
selamat malam admin , mohon bantuannya dua hari yang lalu saya hapus akun , tetapi saat mencoba login mengapa masih aktif , admin ?	malam min . minta bantuannya donk dua hari yg lalu saya hapus akun tp pas coba login ko masih aktif min
hi . selamat sore . saya baru saja membeli kartu sim simpati . sudah coba registrasi , tetapi tidak ada respon . tolong bantuannya .	hai , selamat sore . saya baru saja membeli kartu sim simpati . dan udah coba registrasi , tapi ga ada respon . tolong bantuannya .
tolong notice kali ini . we need you .	tolong notice kali ini ya . we need you
apakah akun grab - nya digunakan untuk memesan kimcil ? oleh sebab itu akunnya ditangguhkan .	akun grabnya buat ngorder kimcil po , makanya ditangguhkan
lihat kamunya bukan jualan tehnya .	liat kamunya bukan jualan tehnya hish
minta pencerahannya . mengapa saldo tidak masuk ? trip . ada apakah ini ?	minta pencerahan nya hu . kok saldo ga msk ya , trip . ada apa kah ini
admin , mengapa xl sekarang koneksinya lambat ? jika dipakai untuk permainan pubg , sangat lag .	min kok xl sekarang koneksinya lambat ya buat game pubg lag parah
admin . jika ingin upgrade akun premier , apakah harus ke booth atau bisa juga melalui online ?	min kalo mau upgrade akun premier harus ke booth atau bisa via online ?
potongan ke mitra halan . insentif terus dipangkas . halo ?	potongan ke mitra jalan . insentif terus di pangkas . haloo ?
promo lagi sebaiknya , ayo bakar uang , ayo bakar , jangan mau kalah dengan gopay dan ovo . kamu bisa dana . ayo , dana .	promo lagi dong lg dong , ayoo bakar uang ayoo bakarr jangan mau kalah sama gopay dan ovo . kamu bisa danaa ayo dana
bales dm admin , sudah hari tidak dibalas .	bales dm minn , udh hari ga dibales2
iya , itu pembagiannya internet sama entertainment .	iya itu pembagiannya internet sama entertainment ?
malam kak . mengapa paketan saya dengan resi , sudah hari statusnya belum berubah ?	malam kak . paketan saya resi sdh hr kok ga berubah ubah statusnya kak ?
hahaha jadi ingin pas tanggal besok .	haha jd pengen pas tgl besok
ikon nomor ayo gabung !	ikon nomor ayo gabung :
kalau sudah minta kode otp sudah pasti penipuan , langsung matikan hp atau maki - maki penelponnya .	kalau udah minta kode otp udah pasti penipuan , langsung matiin hp atau maki - maki aja penelponnya .
kembalikan pulsa saya yang diambil !	heh , balikin pulsa gua yg di ambil
lagi gangguan tidak bisa telepon , sms , dan internet .	lagi gangguan ya tidak bisa telp , sms dan internetan
sedih . apakah tidak ada voucher lagi ?	seudihh gada voucher lagi apaa ?
ini bagaimana ? minuman saya belum sampai tapi sudah disuruh nilai . halo .	lah ini gimana ? minuman saya belom sampe tapi udah disuruh nilai ? haloo ?
tapi dm aku belum dibalas . provider sebelah , aku dm malah tidak di - read sudah berbulan - bulan .	tp dm gw blm dibales hooh provider sebelah gw dm malah kaga diread2 udh berbulan2
"hai admin - admin . saya baru menukar fiesta poin mandiri untuk gift card tokopedia . mengapa saat saya masukkan kodenya , muncul "" kode promo tidak ditemukan . bagaimana ya ?"	"hi admin2 , sy abis nuker fp mandiri utk e gift card tokped , pas sy masukin kodenya kok kayanya "" kode promo tidak ditemukan . gimana y ?"
bohong ! jaringan sering hilang , tetapi mengurangi pulsa .	halah ngibul jaringan suka ilang2an jg sedot2an pulsa jg
selamat malam . tadi malam hp suami saya kecopetan lalu di akun gojek - nya masih ada saldo gopay . itu bagaimana ? terima kasih .	selamat mlm , semalam hape suami saya kecopetan lalu di akun gojeknya msh ada saldo gopay . itu bagaimana ya . terima kasih
tapi , sinyal telkomsel bapuk bukan main bro .	tapi , signal telkomsel bapuk bukan main bro
karena ini paket unlimited saya langsung hilang , admin ?	gara2 ini paket unlimited saya langsung hilang min ?
jika saya tutup akun tanpa ke kantor cabang dengan cara mengosongkan saldo rekening apakah bisa ?	jika saya tutup akun tanpa ke kantor cabang dengan cara mengosongkan saldo rekening apakah bisa ?
maksudnya sales counter / agen yang online bagaimana kak ?	maksudnya sales counter / agen yg online bagaimana kak ?
ditunggu kabarnya , saya tidak rela kurir itu dibiarkan saja . sakit hati aku dikunci dari luar .	ditunggu kabarnya , saya ga rela itu kurir dibiarin aja sakit hati akuyu dikunciin dari luar
telat buka twitter . terima kasih rp10 nya .	telat liat twitter thanks rp10 nya
halo , bisa balas tweet saya dan dm ?	hallo bisa balas twitt saya dan dm ?
halo kak , untuk kendala pada nomor prabayar telkomselnya dapat langsung menghubungi rekan kami di . terima kasih - mina .	hallo kak , untuk kendala pada nomor prabayar telkomsel - nya dapat langsung menghubungi rekan kami di . terima kasih - mina
kak , mohon maaf , sebelum bawa perasaan , sebaiknya periksa dm dari aku dahulu .	ka monmaap , sebelum baper beneran mending cek dm dari aku dulu .
admin . saya sudah sampai tujuan . namun di aplikasi belum dapat memberikan penilaian . bisa tolong menghubungi pengemudi untuk menyelesaikan perjalanan ? rincinya , sudah saya dm . terima kasih .	min sy sdh sampai tujuan tp di aplikasi blm bisa kasih rating , bs tolong hubungi driver utk menyelesaikan perjalanan ? details sdh sy dm , thx
tolong bantuannya , sinyal di daerah saya sering gangguan .	tolong bantuannya , sinyal di daerah saya sering gangguan
hmm , sebentar . aku akan bikin videonya .	hmm bentar , aku bakal bikin videonya
terima kasih . kalau bisa sering - sering promonya .	makasih , klo bisa sering2 dong promonya
beli handphone baru mau jadi drivernya , mohon bantuannya .	beli hape baru mau jadi driver mohon supportnya
mengapa saya gagal membeli paket flash sale ? maaf , kamu belum dapat melakukan registrasi paket ini . dapatkan penawaran terbaik atau akses myim3 .	mengapa saya gagal beli paket flash sale ? maaf , kamu belum dapat melakukan registrasi paket ini . dapatkan penawaran terbaik atau akses myim3
apakah indosat ada gangguan ? nomor saya sinyalnya buruk sekali . sering tidak ada jaringan internetnya .	apakah indonsat ada gangguan ? nomor saya sinyalnya buruk sekali , sering tidak ada jaringan internetnya .
kenapa dm ? beri tahu , ingin tahu halangan apa di daerah semarang .	kok dm ? kasihtahu dong , pengin tahu force majeure apa daerah semarang .
halo kak , mau tanya dong . aku mengirim barang ke rembang tapi kenapa di tujuannya ke gamping sleman kak . nomor resi .	halo kak , mau nanya dong kan aku ngirim barang ke rembang tp kenapa di destinationnya ke gamping sleman ya kak . no resi
yang lebih cepat dari gundala saat jalan - jalan ke ancol naik gondala ! hahaha .	yang lebih cepet dari gundala pas jalan - jalan ke ancol naik gondala ! hahaha
kak , mengapa sudah memesan gofood pakai gopay tidak dapat cashback gopay ?	kaa kok udh order gofood pake gopay kok ga dapet cashback gopay yaa ?
paket hari masa berlaku , baru hari dipakai dapat sms paket berakhir di hari ke . bisa minta penjelasannya admin ?	paket hari masa berlaku , baru hari dipake dapet sms paket berakhir di hari ke bisa minta penjelasannya min ?
harusnya kalau orang pesan grab saja admin .	harus nya kalo orang pesen grab aja ya min
produk yang saya pesan bocor sebelumnya saya terima . tanggal orderan saya ajukan refund dan apology voucher . yang apology langsung ditolak .	produk yg sy pesan bocor sblm sy trma . tgl orderan sy ajukan refund dan apology vouchr . yg apology lsg d tolak .
selamat siang . ingin bertanya , kenapa saya sulit untuk menerima dan melakukan panggilan setelah penggantian kartu . mohon bantuannya . terima kasih .	selamat siang . mau tanya , saya kok sulit untuk menerima dan melakukan panggilan setelah penggantian kartu . mohon bantuannya . terima kasih
sampai kapan ini ? sangat butuh internet .	sampe kapan ini ? butuh internet banget
milea sangat kepo minta - minta nomor dilan .	milea kepo sekali minta2 nomer dilan
selamat malam , kak jika barang ada di dc , misal dc_cibiru , apakah bisa datang ke lokasi dc untuk diambil ? terima kasih .	selamat malam , kak jika barang ada di dc , misal dc_cibiru apakah bisa datang ke lokasi dc untuk diambil ? thx
tolong demi apapun , tolong tambahkan voucher diskon btsxlazada lagi . malam ini saja . jiwa miskin saya meronta - ronta ini .	please demi apapun , tolong tambahin voucher disscount btsxlazada lagi dong . malem ini aja . jiwa missquen gue meronta2 ini
